City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Tiksi,RU,2021-03-30 21:04:19,71.6872,128.8694,-4.04,99,100,6.64
252,Ahuimanu,US,2021-03-30 21:04:19,21.4447,-157.8378,82.4,65,90,9.22
253,Aykhal,RU,2021-03-30 21:04:19,66.0,111.5,9.68,95,100,9.15
254,Vostok,RU,2021-03-30 21:04:20,46.4856,135.8833,29.34,96,98,3.27
255,Pavlohrad,UA,2021-03-30 21:04:20,48.5167,35.8667,33.01,74,0,4.47
256,Buala,SB,2021-03-30 21:04:20,-8.145,159.5921,81.91,79,93,5.37
257,Tabuk,PH,2021-03-30 21:04:21,17.4189,121.4443,72.61,93,64,1.48
258,Zemio,CF,2021-03-30 21:04:21,5.0314,25.1361,74.21,65,28,2.66
259,Mahebourg,MU,2021-03-30 21:04:21,-20.4081,57.7,73.4,94,40,9.22
260,Ginir,ET,2021-03-30 21:04:21,7.1333,40.7,61.57,53,39,4.43
261,La Carlota,PH,2021-03-30 21:04:22,10.4233,122.9208,77.97,85,99,5.1
262,Florida Ridge,US,2021-03-30 21:04:22,27.5803,-80.3867,82.4,69,20,14.97
263,Pathein,MM,2021-03-30 21:04:22,16.7833,94.7333,73.99,94,6,5.06
264,Mus,TR,2021-03-30 21:04:23,39.0,41.75,26.85,69,72,4.34
265,Bonavista,CA,2021-03-30 21:04:23,48.6499,-53.1147,30.99,50,99,11.5
266,Xinyang,CN,2021-03-30 21:04:23,32.1228,114.0656,55.42,92,100,7.74
267,Gilbues,BR,2021-03-30 21:04:23,-9.8317,-45.3439,81.54,63,73,2.17
268,Xichang,CN,2021-03-30 21:04:24,27.8964,102.2634,52.43,52,1,2.77
269,Quatre Cocos,MU,2021-03-30 21:04:24,-20.2078,57.7625,78.01,94,40,9.22
270,Ndele,CF,2021-03-30 21:04:24,8.4109,20.6473,79.86,18,7,1.61
271,Sorland,NO,2021-03-30 21:04:25,67.667,12.6934,39.2,81,75,10.36
272,Talnakh,RU,2021-03-30 21:04:25,69.4865,88.3972,-24.48,93,15,1.32
273,Lorengau,PG,2021-03-30 21:04:25,-2.0226,147.2712,81.9,73,100,5.82
274,Nova Zagora,BG,2021-03-30 21:02:42,42.4833,26.0167,42.8,87,40,6.91
275,Kenai,US,2021-03-30 21:02:36,60.5544,-151.2583,39.2,80,20,11.5
276,Victoria,HK,2021-03-30 21:01:14,22.2855,114.1577,78.01,85,16,1.01
277,Arraial Do Cabo,BR,2021-03-30 21:04:26,-22.9661,-42.0278,80.6,94,75,13.8
278,Meulaboh,ID,2021-03-30 21:04:26,4.1363,96.1285,75.25,88,100,5.3
279,Vrangel,RU,2021-03-30 21:04:26,42.7297,133.0839,38.16,82,100,6.31
280,Longyan,CN,2021-03-30 21:04:27,25.1072,117.0225,70.5,96,100,3.47
281,Coihaique,CL,2021-03-30 21:01:20,-45.5752,-72.0662,73.4,49,20,4.61
282,Khatanga,RU,2021-03-30 21:04:27,71.9667,102.5,-33.7,99,63,7.47
283,Lufilufi,WS,2021-03-30 21:04:27,-13.8745,-171.5986,87.8,79,75,5.75
284,Hervey Bay,AU,2021-03-30 21:04:28,-25.2986,152.8535,66.0,93,58,3.0
285,Illapel,CL,2021-03-30 21:04:28,-31.6308,-71.1653,73.24,52,0,5.7
286,Svetlyy,RU,2021-03-30 21:04:28,54.675,20.1347,50.0,87,0,15.66
287,Mirabad,AF,2021-03-30 21:04:29,30.4362,61.8383,56.77,29,0,19.24
288,Mezen,RU,2021-03-30 21:04:29,65.8522,44.24,33.64,98,100,9.46
289,Yar-Sale,RU,2021-03-30 21:04:29,66.8333,70.8333,-9.51,89,100,10.09
290,Midrand,ZA,2021-03-30 21:04:29,-25.9636,28.1378,60.8,94,75,1.14
291,Wanaka,NZ,2021-03-30 20:59:48,-44.7,169.15,57.85,77,63,1.41
292,Mastic Beach,US,2021-03-30 21:04:30,40.7668,-72.8521,55.0,47,1,12.66
293,Syamzha,RU,2021-03-30 21:04:30,60.0158,41.0614,33.85,97,100,12.53
