City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Kununurra,AU,87.8,overcast clouds,-15.7667,128.7333,Hotel Kununurra
387,Batie,BF,82.92,broken clouds,9.8833,-2.9167,Auberge SONDAR AFACI
390,Ixtapa,MX,77.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
391,Inhambane,MZ,73.62,broken clouds,-23.865,35.3833,Oceano
401,Santa Rosa,PH,87.01,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
407,Sanghar,PK,82.35,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
409,Mogadishu,SO,81.45,few clouds,2.0371,45.3438,Olympic Hotel
410,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
411,Huarmey,PE,71.11,few clouds,-10.0681,-78.1522,Hotel Miramar
413,Uberlandia,BR,72.43,broken clouds,-18.9186,-48.2772,Hotel Apollo
414,Dwarka,IN,79.11,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
419,Ngunguru,NZ,77.0,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
420,Xuddur,SO,74.07,broken clouds,4.1213,43.8894,Banjanay Hotel
422,Emerald,AU,77.0,scattered clouds,-23.5333,148.1667,The Irish Village
423,Neiafu,TO,84.2,light rain,-18.65,-173.9833,Mystic Sands
427,Manicore,BR,74.61,moderate rain,-5.8092,-61.3003,Hotel Durval
435,Mount Isa,AU,80.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
436,Sampit,ID,80.67,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
439,Banda Aceh,ID,81.1,overcast clouds,5.5577,95.3222,Sulthan Hotel International
440,North Platte,US,80.6,clear sky,41.1239,-100.7654,Holiday Inn Express & Suites North Platte
443,Pailon,BO,71.6,overcast clouds,-17.65,-62.75,Alojamiento pailon
444,Srandakan,ID,80.71,overcast clouds,-7.9386,110.2506,Puri Brata
445,Nilanga,IN,79.61,clear sky,18.1,76.7667,जाधव
447,Sompeta,IN,78.55,few clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
448,Baculin,PH,84.33,broken clouds,7.4525,126.5842,Shovy's Cove
